id,nume,lat,lng
216,Letca Veche,44.1980961,25.6902956
217,Milcovatu,44.2642463,25.7000813
218,Marsa,44.365091,25.565693
219,Mihai Bravu,44.1386034,26.0567838
220,Ogrezeni,44.4116847,25.7804779
221,Hobaia,44.3893455,25.7763197
222,Oinacu,43.9448258,26.0408155
223,Branistea,43.9664675,26.0369638
224,Comasca,43.9493607,26.0471747
225,Prundu,44.0571215,26.2592475
226,Puieni,44.0767316,26.189514
227,Putineiu,43.9311628,25.7360404
228,Hodivoaia,43.9015226,25.7934613
229,Vieru,43.8877956,25.8050427
230,Rasuceni,44.0903888,25.6711532
231,Carapancea,44.1008559,25.71384
232,Cucuruzu,44.076906,25.7272144
233,Satu Nou,44.0615596,25.6338692
234,Roata de Jos,44.4065433,25.5359618
235,Cartojani,44.432022,25.4909035
236,Roata Mica,44.4006702,25.5554069
237,Sadina,44.4199086,25.5159621
238,Schitu,44.13394,25.8246026
239,Bila,44.1604294,25.8464138
240,Camineasca,44.166472,25.8214416
241,Vlasin,44.0992085,25.862156
242,Singureni,44.2229167,25.941849
243,Cranguri,44.2049564,25.9804287
244,Stejaru,44.2509444,25.9323789
245,Slobozia,43.8583495,25.9065998
246,Stanesti,43.9387027,25.865863
247,Balanu,43.919856,25.9185016
248,Ghizdaru,43.9308597,25.8831724
249,Oncesti,43.9577898,25.8824729
250,Stoenesti,44.1376789,25.8898644
251,Ianculesti,44.1401398,25.9250338
252,Mirau,44.1409954,25.8661048
253,Toporu,44.0165934,25.6538271
254,Tomulesti,43.9792561,25.6370731
255,Ulmi,44.4989656,25.7756198
256,Cascioarele (Ulmi),44.5191373,25.7456057
257,Draganeasca,44.5304795,25.7419902
258,Ghionea,44.4826904,25.799675
259,Icoana,44.4854071,25.7450739
260,Mosteni,44.1742096,25.9408144
261,Poenari,44.4732073,25.7701411
262,Trestieni,44.5102753,25.7593712
263,Valea Dragului,44.2074248,26.2951445
264,Varasti,44.2407092,26.2696557
265,Dobreni,44.253387,26.2082339
266,Vanatorii Mici,44.4904262,25.5602004
267,Corbeanca,44.4759721,25.5666586
268,Cupele,44.5034495,25.5262786
269,Izvoru (Vanatorii Mici),44.5127129,25.5389944
270,Poiana lui Stanga,44.5089374,25.5856531
271,Valcelele,44.4673387,25.5719187
272,Vanatorii Mari,44.4895559,25.538116
273,Zadariciu,44.4736515,25.5789283
274,Vedea,43.7809092,25.785655
275,Malu,43.8214124,25.8286785
276,Azuga,45.4450965,25.5700368
277,Baicoi,45.0340198,25.879006
278,Dambu,45.0455104,25.8881859
279,Liliesti,45.0340198,25.879006
280,Schela,45.033051,25.8367014
281,Tufeni,45.0606817,25.835884
282,Tintea,45.0331044,25.9135987
283,Boldesti-Scaeni,45.0203382,26.0274723
284,Seciu,45.0323928,26.0649481
285,Breaza,45.187222,25.662222
286,Breaza de Jos,45.1719817,25.6694364
287,Breaza de Sus,45.1903148,25.6555351
288,Frasinet,45.195991,25.6787267
289,Gura Beliei,45.2141183,25.6448983
290,Irimesti,45.1528102,25.6608568
291,Nistoresti,45.2067019,25.6653688
292,Podu Corbului,45.2166442,25.6552086
293,Podu Vadului,45.1514861,25.6871484
294,Surdesti,45.1870043,25.619863
295,Valea Tarsei,45.1823289,25.6419569
296,Busteni,45.4097148,25.5342236
297,Poiana Tapului,45.3809651,25.5442904
